,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,yhat
281,2009-06-15,51.43605551762877,51.43605551762877,51.43605551762877,71.15323781755374,101.01843000022859,-1.5861985811405703,-1.5861985811405703,-1.5861985811405703,36.14157519596768,36.14157519596768,36.14157519596768,34.74433307921669,34.74433307921669,34.74433307921669,0.0,0.0,0.0,0.18895646438956276,0.18895646438956276,0.18895646438956276,86.18038859684546
282,2009-07-15,51.53421301670285,51.53421301670285,51.53421301670285,73.82001405435467,104.07911328600866,-1.5904864785779558,-1.5904864785779558,-1.5904864785779558,38.604321964338105,38.604321964338105,38.604321964338105,37.51428288497661,37.51428288497661,37.51428288497661,0.0,0.0,0.0,0.5004473992164579,0.5004473992164579,0.5004473992164579,89.04849590167946
283,2009-08-15,51.63564243241273,51.63564243241273,51.63564243241273,71.59207032930559,102.02007815669663,-1.3483052232679196,-1.3483052232679196,-1.3483052232679196,36.141575195972294,36.141575195972294,36.141575195972294,35.02237580903906,35.02237580903906,35.02237580903906,0.0,0.0,0.0,0.22910583633468695,0.22910583633468695,0.22910583633468695,86.6580182414518
284,2009-09-15,51.73707184812261,51.73707184812261,51.73707184812261,68.29125276579964,98.65931296226239,-0.6017041829109978,-0.6017041829109978,-0.6017041829109978,32.27170033321337,32.27170033321337,32.27170033321337,31.810160486251846,31.810160486251846,31.810160486251846,0.0,0.0,0.0,0.14016433594947705,0.14016433594947705,0.14016433594947705,83.54723233437446
285,2009-10-15,51.835229347196695,51.835229347196695,51.835229347196695,73.01348834461685,103.03141867776836,0.32426008399596734,0.32426008399596734,0.32426008399596734,36.14157519597255,36.14157519597255,36.14157519597255,36.083167876636765,36.083167876636765,36.083167876636765,0.0,0.0,0.0,-0.3826674033317627,-0.3826674033317627,-0.3826674033317627,87.91839722383347
286,2009-11-15,51.936658760614904,51.936658760614904,51.936658760614904,69.55316134487747,98.79180997919126,0.9466358044349661,0.9466358044349661,0.9466358044349661,32.271700333191625,32.271700333191625,32.271700333191625,31.970681001204653,31.970681001204653,31.970681001204653,0.0,0.0,0.0,-1.247655136421934,-1.247655136421934,-1.247655136421934,83.90733976181956
287,2009-12-15,52.034816257471235,52.034816257471235,52.034816257471235,72.28478902241245,103.2871838588169,0.9591351656258332,0.9591351656258332,0.9591351656258332,36.14157519595751,36.14157519595751,36.14157519595751,35.43622764325684,35.43622764325684,35.43622764325684,0.0,0.0,0.0,-1.6644827183265023,-1.6644827183265023,-1.6644827183265023,87.47104390072808
288,2010-01-15,52.13624567088944,52.13624567088944,52.13624567088944,69.39884109452919,99.53615430569383,0.6211263938400611,0.6211263938400611,0.6211263938400611,32.27170033319938,32.27170033319938,32.27170033319938,32.514677941629884,32.514677941629884,32.514677941629884,0.0,0.0,0.0,-0.37814878540955665,-0.37814878540955665,-0.37814878540955665,84.65092361251932
289,2010-02-15,52.23767508430765,52.23767508430765,52.23767508430765,64.80845400427671,94.86925098318441,0.5078635227959936,0.5078635227959936,0.5078635227959936,27.353920371054915,27.353920371054915,27.353920371054915,27.568165485979986,27.568165485979986,27.568165485979986,0.0,0.0,0.0,-0.29361840787091853,-0.29361840787091853,-0.29361840787091853,79.80584057028763
290,2010-03-15,52.32928874804022,52.32928874804022,52.32928874804022,77.16453283320715,107.85772182306923,0.9406678159949773,0.9406678159949773,0.9406678159949773,38.37608540156857,38.37608540156857,38.37608540156857,40.27490975676735,40.27490975676735,40.27490975676735,0.0,0.0,0.0,0.9581565392038028,0.9581565392038028,0.9581565392038028,92.60419850480757
291,2010-04-15,52.43071816145843,52.43071816145843,52.43071816145843,80.21917545412094,110.40168237385856,1.9380572167290464,1.9380572167290464,1.9380572167290464,39.39350721966571,39.39350721966571,39.39350721966571,42.66663772792873,42.66663772792873,42.66663772792873,0.0,0.0,0.0,1.335073291533976,1.335073291533976,1.335073291533976,95.09735588938716
292,2010-05-15,52.52887565831476,52.52887565831476,52.52887565831476,79.51782921733896,110.69513809642035,3.0057248330214628,3.0057248330214628,3.0057248330214628,38.37608540156556,38.37608540156556,38.37608540156556,42.070940700200765,42.070940700200765,42.070940700200765,0.0,0.0,0.0,0.6891304656137449,0.6891304656137449,0.6891304656137449,94.59981635851553
293,2010-06-15,52.630305071732955,52.630305071732955,52.630305071732955,81.32861385769772,110.77031996424918,3.7663908393079577,3.7663908393079577,3.7663908393079577,39.39350721966303,39.39350721966303,39.39350721966303,43.351531261809875,43.351531261809875,43.351531261809875,0.0,0.0,0.0,0.19163320283888402,0.19163320283888402,0.19163320283888402,95.98183633354283
294,2010-07-15,52.728462568589286,52.728462568589286,52.728462568589286,81.06091226691473,111.03634502201383,3.9820721619676513,3.9820721619676513,3.9820721619676513,38.37608540157367,38.37608540157367,38.37608540157367,42.87845472943231,42.87845472943231,42.87845472943231,0.0,0.0,0.0,0.5202971658909936,0.5202971658909936,0.5202971658909936,95.6069172980216
295,2010-08-15,52.8298919820075,52.8298919820075,52.8298919820075,81.73117357023173,110.65979963410447,3.672200731114958,3.672200731114958,3.672200731114958,39.39350721966387,39.39350721966387,39.39350721966387,43.288658442571204,43.288658442571204,43.288658442571204,0.0,0.0,0.0,0.2229504917923842,0.2229504917923842,0.2229504917923842,96.1185504245787
296,2010-09-15,52.931321395425705,52.931321395425705,52.931321395425705,78.96151091386753,110.54355149264264,2.8210223416927915,2.8210223416927915,2.8210223416927915,38.60432196433608,38.60432196433608,38.60432196433608,41.5599694797758,41.5599694797758,41.5599694797758,0.0,0.0,0.0,0.1346251737469296,0.1346251737469296,0.1346251737469296,94.49129087520151
297,2010-10-15,53.029478892282036,53.029478892282036,53.029478892282036,79.67630650634833,108.52003808689048,1.421941185009341,1.421941185009341,1.421941185009341,39.39350721966118,39.39350721966118,39.39350721966118,40.42566642115519,40.42566642115519,40.42566642115519,0.0,0.0,0.0,-0.3897819835153349,-0.3897819835153349,-0.3897819835153349,93.45514531343723
298,2010-11-15,53.130908305700245,53.130908305700245,53.130908305700245,75.75647588822973,104.69340552393687,-0.5458885875655434,-0.5458885875655434,-0.5458885875655434,38.60432196433667,38.60432196433667,38.60432196433667,36.83026252620253,36.83026252620253,36.83026252620253,0.0,0.0,0.0,-1.228170850568602,-1.228170850568602,-1.228170850568602,89.96117083190278
299,2010-12-15,53.229065800754505,53.229065800754505,53.229065800754505,73.16198226640218,103.95412908044058,-2.5529625656925483,-2.5529625656925483,-2.5529625656925483,39.39350721966202,39.39350721966202,39.39350721966202,35.18681651884742,35.18681651884742,35.18681651884742,0.0,0.0,0.0,-1.653728135122057,-1.653728135122057,-1.653728135122057,88.41588231960193
300,2011-01-15,53.330495212310566,53.330495212310566,53.330495212310566,72.48035828751368,102.21264555307684,-4.049452610117946,-4.049452610117946,-4.049452610117946,38.60432196433725,38.60432196433725,38.60432196433725,34.157865504691515,34.157865504691515,34.157865504691515,0.0,0.0,0.0,-0.39700384952779555,-0.39700384952779555,-0.39700384952779555,87.48836071700208
301,2011-02-15,53.431924623866635,53.431924623866635,53.431924623866635,69.12707018070783,99.70855697174925,-4.424660332707421,-4.424660332707421,-4.424660332707421,36.14157519596803,36.14157519596803,36.14157519596803,31.412853091197174,31.412853091197174,31.412853091197174,0.0,0.0,0.0,-0.3040617720634409,-0.3040617720634409,-0.3040617720634409,84.84477771506381
