,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
2406,2011-10-26,112.56093837215613,112.56093837215613,112.56093837215613,96.5217244786886,125.90744662012378,-0.9070829644890811,-0.9070829644890811,-0.9070829644890811,0.0,0.0,0.0,-0.24648431001426718,-0.24648431001426718,-0.24648431001426718,-0.660598654474814,-0.660598654474814,-0.660598654474814,111.65385540766705
2407,2011-10-27,112.55683165819681,112.55683165819681,112.55683165819681,97.56292821973388,125.15575909754047,-0.8424980648313742,-0.8424980648313742,-0.8424980648313742,0.0,0.0,0.0,-0.06736297580265176,-0.06736297580265176,-0.06736297580265176,-0.7751350890287224,-0.7751350890287224,-0.7751350890287224,111.71433359336544
2408,2011-10-28,112.55272494423748,112.55272494423748,112.55272494423748,97.61549713571758,125.44608610798632,-1.14896922306459,-1.14896922306459,-1.14896922306459,0.0,0.0,0.0,-0.2562708427238864,-0.2562708427238864,-0.2562708427238864,-0.8926983803407036,-0.8926983803407036,-0.8926983803407036,111.4037557211729
2409,2011-10-31,112.54040480235953,112.54040480235953,112.54040480235953,96.80877219917198,123.61537773655462,-1.4836069221249042,-1.4836069221249042,-1.4836069221249042,0.0,0.0,0.0,-0.2281986781282361,-0.2281986781282361,-0.2281986781282361,-1.2554082439966683,-1.2554082439966683,-1.2554082439966683,111.05679788023463
2410,2011-11-01,112.5362980884002,112.5362980884002,112.5362980884002,97.20113818146326,124.68314850325255,-1.6471692276632146,-1.6471692276632146,-1.6471692276632146,0.0,0.0,0.0,-0.27027796083090266,-0.27027796083090266,-0.27027796083090266,-1.376891266832312,-1.376891266832312,-1.376891266832312,110.88912886073699
2411,2011-11-02,112.53219137444087,112.53219137444087,112.53219137444087,96.62274710544533,124.28692424558551,-1.74379557798294,-1.74379557798294,-1.74379557798294,0.0,0.0,0.0,-0.24648431001450175,-0.24648431001450175,-0.24648431001450175,-1.497311267968438,-1.497311267968438,-1.497311267968438,110.78839579645793
2412,2011-11-03,112.52808466048155,112.52808466048155,112.52808466048155,96.77789149431456,125.09055286705501,-1.6832648134987116,-1.6832648134987116,-1.6832648134987116,0.0,0.0,0.0,-0.06736297580262636,-0.06736297580262636,-0.06736297580262636,-1.6159018376960852,-1.6159018376960852,-1.6159018376960852,110.84481984698284
2413,2011-11-04,112.52397794652222,112.52397794652222,112.52397794652222,95.86341076668943,123.74852877658299,-1.9882154298818826,-1.9882154298818826,-1.9882154298818826,0.0,0.0,0.0,-0.25627084272406453,-0.25627084272406453,-0.25627084272406453,-1.731944587157818,-1.731944587157818,-1.731944587157818,110.53576251664035
2414,2011-11-07,112.51165780464427,112.51165780464427,112.51165780464427,95.8001363226639,124.28009572432823,-2.2867471160667137,-2.2867471160667137,-2.2867471160667137,0.0,0.0,0.0,-0.2281986781285474,-0.2281986781285474,-0.2281986781285474,-2.0585484379381667,-2.0585484379381667,-2.0585484379381667,110.22491068857755
2415,2011-11-08,112.50755109068494,112.50755109068494,112.50755109068494,96.21949747084494,123.79093312314312,-2.42881755637046,-2.42881755637046,-2.42881755637046,0.0,0.0,0.0,-0.2702779608306098,-0.2702779608306098,-0.2702779608306098,-2.15853959553985,-2.15853959553985,-2.15853959553985,110.07873353431448
2416,2011-11-09,112.50344437672562,112.50344437672562,112.50344437672562,95.82993735946256,123.70670465183969,-2.499937430694367,-2.499937430694367,-2.499937430694367,0.0,0.0,0.0,-0.2464843100144497,-0.2464843100144497,-0.2464843100144497,-2.2534531206799167,-2.2534531206799167,-2.2534531206799167,110.00350694603125
2417,2011-11-10,112.4993376627663,112.4993376627663,112.4993376627663,96.94694804202155,122.62398750078144,-2.410404467970499,-2.410404467970499,-2.410404467970499,0.0,0.0,0.0,-0.06736297580282981,-0.06736297580282981,-0.06736297580282981,-2.343041492167669,-2.343041492167669,-2.343041492167669,110.0889331947958
2418,2011-11-11,112.49523094880696,112.49523094880696,112.49523094880696,96.870254947736,124.157007258833,-2.683421275027959,-2.683421275027959,-2.683421275027959,0.0,0.0,0.0,-0.25627084272383344,-0.25627084272383344,-0.25627084272383344,-2.427150432304126,-2.427150432304126,-2.427150432304126,109.81180967377901
2419,2011-11-14,112.48291080692901,112.48291080692901,112.48291080692901,96.88370212180646,123.21487637933828,-2.8746299867723595,-2.8746299867723595,-2.8746299867723595,0.0,0.0,0.0,-0.22819867812830294,-0.22819867812830294,-0.22819867812830294,-2.6464313086440567,-2.6464313086440567,-2.6464313086440567,109.60828082015665
2420,2011-11-15,112.47880409296968,112.47880409296968,112.47880409296968,95.71071719028136,124.64924297395976,-2.9791643987713097,-2.9791643987713097,-2.9791643987713097,0.0,0.0,0.0,-0.27027796083031697,-0.27027796083031697,-0.27027796083031697,-2.708886437940993,-2.708886437940993,-2.708886437940993,109.49963969419838
2421,2011-11-16,112.47469737901037,112.47469737901037,112.47469737901037,95.30508753265283,123.03117624762831,-3.0128919828282377,-3.0128919828282377,-3.0128919828282377,0.0,0.0,0.0,-0.24648431001439772,-0.24648431001439772,-0.24648431001439772,-2.76640767281384,-2.76640767281384,-2.76640767281384,109.46180539618213
2422,2011-11-17,112.47059066505103,112.47059066505103,112.47059066505103,95.78706831537255,122.74290468388874,-2.886691611578975,-2.886691611578975,-2.886691611578975,0.0,0.0,0.0,-0.06736297580280441,-0.06736297580280441,-0.06736297580280441,-2.8193286357761704,-2.8193286357761704,-2.8193286357761704,109.58389905347207
2423,2011-11-18,112.46648395109172,112.46648395109172,112.46648395109172,95.47657953086335,123.86474351412704,-3.124309347434886,-3.124309347434886,-3.124309347434886,0.0,0.0,0.0,-0.25627084272488454,-0.25627084272488454,-0.25627084272488454,-2.8680385047100017,-2.8680385047100017,-2.8680385047100017,109.34217460365683
2424,2011-11-21,112.45416380921375,112.45416380921375,112.45416380921375,95.00838182698462,122.65452697861747,-3.221604071889179,-3.221604071889179,-3.221604071889179,0.0,0.0,0.0,-0.22819867812898453,-0.22819867812898453,-0.22819867812898453,-2.9934053937601943,-2.9934053937601943,-2.9934053937601943,109.23255973732458
2425,2011-11-22,112.45005709525442,112.45005709525442,112.45005709525442,94.83834929215888,122.96788196730908,-3.3001780473898563,-3.3001780473898563,-3.3001780473898563,0.0,0.0,0.0,-0.2702779608300241,-0.2702779608300241,-0.2702779608300241,-3.0299000865598322,-3.0299000865598322,-3.0299000865598322,109.14987904786457
2426,2011-11-23,112.4459503812951,112.4459503812951,112.4459503812951,95.04551905300141,123.348588456206,-3.311067529551034,-3.311067529551034,-3.311067529551034,0.0,0.0,0.0,-0.2464843100144036,-0.2464843100144036,-0.2464843100144036,-3.0645832195366305,-3.0645832195366305,-3.0645832195366305,109.13488285174407
2427,2011-11-25,112.43773695337646,112.43773695337646,112.43773695337646,95.73106536299339,123.64678798950872,-3.3867255788323956,-3.3867255788323956,-3.3867255788323956,0.0,0.0,0.0,-0.2562708427250626,-0.2562708427250626,-0.2562708427250626,-3.130454736107333,-3.130454736107333,-3.130454736107333,109.05101137454406
2428,2011-11-28,112.4254168114985,112.4254168114985,112.4254168114985,95.51509860471414,123.60465128168859,-3.455199006267241,-3.455199006267241,-3.455199006267241,0.0,0.0,0.0,-0.22819867812707298,-0.22819867812707298,-0.22819867812707298,-3.227000328140168,-3.227000328140168,-3.227000328140168,108.97021780523126
